,compound_id,target_id,standard_type,standard_relation,standard_value,standard_units
216,CHEMBL135581,P00374,KD,=,0.5,NM
217,CHEMBL135581,P00374,KD,=,0.6,NM
218,CHEMBL135581,P00374,KD,=,450.0,NM
219,CHEMBL135581,P00374,KD,=,1000.0,NM
220,CHEMBL135581,P00374,KD,=,1200.0,NM
221,CHEMBL135581,P00374,KD,=,2000.0,NM
222,CHEMBL135581,P00374,KD,=,2700.0,NM
223,CHEMBL135581,P00374,KD,=,2800.0,NM
224,CHEMBL135581,P00374,KD,=,3400.0,NM
225,CHEMBL135581,P00374,KD,=,3400.0,NM
226,CHEMBL135581,P00374,KD,=,5900.0,NM
331,CHEMBL1232461,Q92793,KD,>,10000.0,NM
332,CHEMBL1232461,Q6PL18,KD,>,10000.0,NM
337,CHEMBL1232461,Q15059,KD,=,89.0,NM
339,CHEMBL1232461,Q15059,KD,=,50.5,NM
341,CHEMBL1232461,Q15059,KD,=,40.7,NM
342,CHEMBL1232461,Q15059,KD,=,60.7,NM
350,CHEMBL1232461,P25440,KD,=,101.0,NM
352,CHEMBL1232461,P25440,KD,=,61.3,NM
354,CHEMBL1232461,P25440,KD,=,45.4,NM
355,CHEMBL1232461,P25440,KD,=,159.0,NM
372,CHEMBL1232461,O60885,KD,=,49.0,NM
374,CHEMBL1232461,O60885,KD,=,55.2,NM
379,CHEMBL1232461,O60885,KD,=,47.6,NM
380,CHEMBL1232461,O60885,KD,=,99.4,NM
1153,CHEMBL8946,P61169,KD,=,0.17,NM
1154,CHEMBL8946,P61169,KD,=,0.17,NM
1418,CHEMBL52036,P34976,KD,=,7.76,NM
2176,CHEMBL404104,P02751,KD,=,5.5,NM
2520,CHEMBL1448105,P27694,KD,=,627000.0,NM
2791,CHEMBL3236571,Q9H3N8,KD,=,3.98,NM
3321,CHEMBL553,Q9Y6R4,KD,>,10000.0,NM
3322,CHEMBL553,Q9Y6R4,KD,>,10000.0,NM
3323,CHEMBL553,Q9Y6R4,KD,>,10000.0,NM
3324,CHEMBL553,Q9Y6M4,KD,>,10000.0,NM
3327,CHEMBL553,Q9Y6M4,KD,>,10000.0,NM
3332,CHEMBL553,Q9Y6E0,KD,>,10000.0,NM
3335,CHEMBL553,Q9Y6E0,KD,>,10000.0,NM
3336,CHEMBL553,Q9Y616,KD,>,10000.0,NM
3337,CHEMBL553,Q9Y616,KD,>,10000.0,NM
3338,CHEMBL553,Q9Y5S2,KD,>,10000.0,NM
3340,CHEMBL553,Q9Y5S2,KD,>,10000.0,NM
3341,CHEMBL553,Q9Y4K4,KD,>,10000.0,NM
3344,CHEMBL553,Q9Y4K4,KD,>,10000.0,NM
3345,CHEMBL553,Q9Y4K4,KD,>,10000.0,NM
3347,CHEMBL553,Q9Y463,KD,>,10000.0,NM
3350,CHEMBL553,Q9Y463,KD,>,10000.0,NM
3353,CHEMBL553,Q9Y2U5,KD,=,2500.0,NM
3355,CHEMBL553,Q9Y2K2,KD,>,10000.0,NM
3356,CHEMBL553,Q9Y2H9,KD,>,10000.0,NM
3357,CHEMBL553,Q9Y2H1,KD,>,10000.0,NM
3358,CHEMBL553,Q9Y2H1,KD,>,10000.0,NM
3359,CHEMBL553,Q9Y2H1,KD,>,10000.0,NM
3360,CHEMBL553,Q9Y243,KD,>,10000.0,NM
3363,CHEMBL553,Q9Y243,KD,>,10000.0,NM
3365,CHEMBL553,Q9UQM7,KD,>,10000.0,NM
3368,CHEMBL553,Q9UQM7,KD,>,10000.0,NM
3370,CHEMBL553,Q9UQM7,KD,>,10000.0,NM
3372,CHEMBL553,Q9UQB9,KD,=,600.0,NM
